id_file,date,venue,team1,team2,toss_winner,toss_decision,match_winner
1226839,15/01/2021,Melbourne Cricket Ground,Melbourne Stars,Adelaide Strikers,Adelaide Strikers,field,Melbourne Stars
1226865,16/01/2021,Manuka Oval,Perth Scorchers,Sydney Sixers,Perth Scorchers,bat,Sydney Sixers
1226864,17/01/2021,Melbourne Cricket Ground,Melbourne Renegades,Melbourne Stars,Melbourne Renegades,bat,Melbourne Stars
1226840,18/01/2021,Manuka Oval,Sydney Thunder,Hobart Hurricanes,Hobart Hurricanes,field,Hobart Hurricanes
1226838,19/01/2021,Docklands Stadium,Perth Scorchers,Brisbane Heat,Brisbane Heat,field,Perth Scorchers
1226869,20/01/2021,Docklands Stadium,Melbourne Stars,Melbourne Renegades,Melbourne Stars,bat,Melbourne Renegades
1226859,21/01/2021,Adelaide Oval,Adelaide Strikers,Brisbane Heat,Adelaide Strikers,bat,Adelaide Strikers
1226834,22/01/2021,Docklands Stadium,Perth Scorchers,Hobart Hurricanes,Perth Scorchers,bat,Perth Scorchers
1226880,22/01/2021,Adelaide Oval,Sydney Thunder,Sydney Sixers,Sydney Sixers,field,Sydney Thunder
1226848,23/01/2021,Docklands Stadium,Brisbane Heat,Melbourne Renegades,Brisbane Heat,bat,Brisbane Heat
1226849,23/01/2021,Melbourne Cricket Ground,Perth Scorchers,Melbourne Stars,Melbourne Stars,field,Perth Scorchers
1226827,24/01/2021,Melbourne Cricket Ground,Hobart Hurricanes,Sydney Sixers,Sydney Sixers,field,Hobart Hurricanes
1226847,24/01/2021,Adelaide Oval,Adelaide Strikers,Sydney Thunder,Adelaide Strikers,bat,Adelaide Strikers
1226836,25/01/2021,Adelaide Oval,Adelaide Strikers,Sydney Thunder,Sydney Thunder,field,Sydney Thunder
1226858,26/01/2021,Melbourne Cricket Ground,Melbourne Stars,Sydney Sixers,Sydney Sixers,field,Sydney Sixers
1226860,26/01/2021,Melbourne Cricket Ground,Melbourne Renegades,Hobart Hurricanes,Hobart Hurricanes,field,Melbourne Renegades
1226862,26/01/2021,Adelaide Oval,Brisbane Heat,Perth Scorchers,Perth Scorchers,field,Brisbane Heat
1226883,29/01/2021,Brisbane Cricket Ground,Adelaide Strikers,Brisbane Heat,Adelaide Strikers,bat,Brisbane Heat
